cagl_id,gwk60_id_clean,qng_id,cgla_gene_name_from_deseq,cgla_common_name,cg_to_sc_relationship,pre_WGD_Ancestor,scer_gene_id,scer_gene_name,SGD_essentiality,SGD_description
CAGL0F03113g,GWK60_F02827,QNG13447.1,GWK60_F02827,,1-to-1,Anc_5.533,YDR425W,SNX41,,Sorting nexin; involved in the retrieval of late-Golgi SNAREs from the post-Golgi endosome to the trans-Golgi network; interacts with Snx4p
CAGL0F03135g,GWK60_F02849,QNG13448.1,GWK60_F02849,,1-to-1,Anc_5.534,YDR427W,RPN9,inviable,Non-ATPase regulatory subunit of the 26S proteasome; similar to putative proteasomal subunits in other species; null mutant is temperature sensitive and exhibits cell cycle and proteasome assembly defects; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia
CAGL0F03157g,GWK60_F02871,QNG13449.1,GWK60_F02871,,1-to-1,Anc_5.541,YDR430C,CYM1,,Lysine-specific metalloprotease of the pitrilysin family; metalloprotease of the intermembrane space; degrades proteins and presequence peptides cleaved from imported proteins; required for normal mitochondrial morphology
CAGL0F03179g,GWK60_F02893,QNG13450.1,GWK60_F02893,,1-to-1,Anc_5.545,YDR434W,GPI17,inviable,Transmembrane protein; subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-S homolog
CAGL0F03201g,GWK60_F02915,QNG13451.1,GWK60_F02915,,1-to-1,Anc_5.547,YDR435C,PPM1,,"Carboxyl methyltransferase; methylates the C terminus of the protein phosphatase 2A catalytic subunit (Pph21p or Pph22p), which is important for complex formation with regulatory subunits"
CAGL0F03223g,GWK60_F02937,QNG13452.1,GWK60_F02937,,2-to-2,Anc_5.548,YDR436W,PPZ2,,"Serine/threonine protein phosphatase Z, isoform of Ppz1p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance; PPZ2 has a paralog, PPZ1, that arose from the whole genome duplication"
CAGL0F03245g,GWK60_F02959,QNG13453.1,IRE1,IRE1,1-to-1,Anc_5.368,YHR079C,IRE1,,Serine-threonine kinase and endoribonuclease; transmembrane protein that mediates the unfolded protein response (UPR) by regulating Hac1p synthesis through HAC1 mRNA splicing; Kar2p binds inactive Ire1p and releases from it upon ER stress
CAGL0F03267g,GWK60_F03003,QNG13455.1,GWK60_F03003,,2-to-2,Anc_5.370,YHR080C,,,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YHR080C has a paralog, YSP2, that arose from the whole genome duplication"
CAGL0F03289g,GWK60_F03025,QNG13456.1,GWK60_F03025,,1-to-1,Anc_5.373,YHR081W,LRP1,,"Nuclear exosome-associated nucleic acid binding protein; involved in RNA processing, surveillance, degradation, tethering, and export; rapidly degraded by the proteasome in the absence of Rrp6p; homolog of mammalian nuclear matrix protein C1D involved in regulation of DNA repair and recombination"
CAGL0F03311g,GWK60_F03047,QNG13457.1,GWK60_F03047,,1-to-1,Anc_5.376,YHR082C,KSP1,,"Serine/threonine protein kinase; associates with TORC1 and likely involved in TOR signaling cascades; negative regulator of autophagy; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10; protein abundance increases in response to DNA replication stress"
CAGL0F03333g,GWK60_F03069,QNG13458.1,GWK60_F03069,,1-to-1,Anc_8.825,YMR270C,RRN9,inviable,Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I
CAGL0F03399g,GWK60_F03113,QNG13459.1,SCS7,SCS7,1-to-1,Anc_8.829,YMR272C,SCS7,,"Sphingolipid alpha-hydroxylase; functions in the alpha-hydroxylation of sphingolipid-associated very long chain fatty acids, has both cytochrome b5-like and hydroxylase/desaturase domains, not essential for growth"
CAGL0F03421g,GWK60_F03135,QNG13460.1,GWK60_F03135,,2-to-2,Anc_8.831,YMR273C,ZDS1,,"Protein with a role in regulating Swe1p-dependent polarized growth; involved in maintaining Cdc55p in the cytoplasm where it promotes mitotic entry; involved in mitotic exit through Cdc14p regulation; interacts with silencing proteins at telomeres; has a role in Bcy1p localization; implicated in mRNA nuclear export; ZDS1 has a paralog, ZDS2, that arose from the whole genome duplication"
CAGL0F03443g,GWK60_F03157,QNG13461.1,GWK60_F03157,,1-to-1,Anc_8.832,YMR274C,RCE1,,Type II CAAX prenyl protease; involved in the proteolysis and maturation of Ras and the a-factor mating pheromone
CAGL0F03465g,GWK60_F03179,QNG13462.1,GWK60_F03179,,2-to-2,Anc_8.834,YMR275C,BUL1,,"Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex; disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases; BUL1 has a paralog, BUL2, that arose from the whole genome duplication"
CAGL0F03487g,GWK60_F03201,QNG13463.1,GWK60_F03201,,1-to-1,Anc_1.154,YJL184W,GON7,,"Component of the EKC/KEOPS protein complex; EKC/KEOPS complex is required for t6A tRNA modification and may have roles in telomere maintenance and transcription; implicated in osmotic stress response; other complex members are Kae1p, Cgi121p, Pcc1p, and Bud32p"
CAGL0F03531g,GWK60_F03223,QNG13464.1,GWK60_F03223,,1-to-1,Anc_8.699,YPL169C,MEX67,inviable,Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP
CAGL0F03553g,GWK60_F03245,QNG13465.1,DAP1,DAP1,1-to-1,Anc_8.701,YPL170W,DAP1,,"Heme-binding protein; involved in regulation of cytochrome P450 protein Erg11p; damage response protein, related to mammalian membrane progesterone receptors; mutations lead to defects in telomeres, mitochondria, and sterol synthesis"
CAGL0F03575g,GWK60_F03267,QNG13466.1,GWK60_F03267,,2-to-2,Anc_8.702,YPL176C,TRE1,,"Transferrin receptor-like protein; plasma membrane protein that binds Bsd2p and regulates ubiquitylation and vacuolar degradation of the metal transporter Smf1p; functionally redundant with Tre2p; TRE1 has a paralog, TRE2, that arose from the whole genome duplication"
CAGL0F03597g,GWK60_F03289,QNG13467.1,GWK60_F03289,,1-to-1,Anc_8.703,YPL175W,SPT14,inviable,"UDP-glycosyltransferase subunit of the GPI-GnT complex; UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in glycosylphosphatidylinositol (GPI) biosynthesis, mutations cause defects in transcription and in biogenesis of cell wall proteins"
CAGL0F03619g,GWK60_F03311,QNG13468.1,GWK60_F03311,,1-to-1,Anc_8.704,YPL174C,NIP100,,Large subunit of the dynactin complex; dynactin is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)
CAGL0F03641g,GWK60_F03333,QNG13469.1,GWK60_F03333,,1-to-0,,,,,
CAGL0F03663g,GWK60_F03355,QNG13470.1,GWK60_F03355,,1-to-1,Anc_8.706,YPL173W,MRPL40,,Mitochondrial ribosomal protein of the large subunit
CAGL0F03685g,GWK60_F03377,QNG13471.1,GWK60_F03377,,1-to-1,Anc_8.710,YPL172C,COX10,,Heme A:farnesyltransferase; catalyzes the first step in the conversion of protoheme to the heme A prosthetic group required for cytochrome c oxidase activity; human ortholog is associated with mitochondrial disorders
CAGL0F03707g,GWK60_F03399,QNG13472.1,GWK60_F03399,,2-to-1,Anc_8.716,,,,
CAGL0F03729g,GWK60_F03421,QNG13473.1,GWK60_F03421,,1-to-1,Anc_8.730,YMR214W,SCJ1,,One of several homologs of bacterial chaperone DnaJ; located in the ER lumen where it cooperates with Kar2p to mediate maturation of proteins
CAGL0F03751g,GWK60_F03443,QNG13474.1,GWK60_F03443,,1-to-1,Anc_8.728,YMR213W,CEF1,inviable,"Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p"
CAGL0F03773g,GWK60_F03465,QNG13475.1,GWK60_F03465,,1-to-1,Anc_8.727,YMR212C,EFR3,inviable,Protein required for Stt4-containing PI kinase complex localization; required for Stt4-containing phosphoinositide (PI) kinase patch assembly at the plasma membrane; exhibits synthetic lethal genetic interactions with PHO85; has sequence similarity to the Drosophila rolling blackout (RBO) gene
CAGL0F03795g,GWK60_F03487,QNG13476.1,GWK60_F03487,,1-to-1,Anc_8.724,YMR211W,DML1,inviable,"Essential protein involved in mtDNA inheritance; may also function in the partitioning of the mitochondrial organelle or in the segregation of chromosomes, exhibits regions similar to members of a GTPase family"
CAGL0F03817g,GWK60_F03509,QNG13477.1,GWK60_F03509,,1-to-1,,YMR210W,,,Putative acyltransferase with similarity to Eeb1p and Eht1p; has a minor role in medium-chain fatty acid ethyl ester biosynthesis; may be involved in lipid metabolism and detoxification
CAGL0F03839g,GWK60_F03531,QNG13478.1,GWK60_F03531,,1-to-1,Anc_8.722,YMR209C,,,Putative S-adenosylmethionine-dependent methyltransferase; YMR209C is not an essential gene
CAGL0F03861g,GWK60_F03553,QNG13479.1,GWK60_F03553,,1-to-1,Anc_8.719,YMR208W,ERG12,inviable,"Mevalonate kinase; acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate"
CAGL0F03883g,GWK60_F03575,QNG13480.1,GAS4,GAS4,1-to-1,Anc_8.731,YMR215W,GAS3,,"Putative 1,3-beta-glucanosyltransferase; has similarity go other GAS family members; low abundance, possibly inactive member of the GAS family of GPI-containing proteins; localizes to the cell wall; mRNA induced during sporulation"
CAGL0F03905g,GWK60_F03597,QNG13481.1,GWK60_F03597,,1-to-1,Anc_8.732,YMR216C,SKY1,,SR protein kinase (SRPK); involved in regulating proteins involved in mRNA metabolism and cation homeostasis; similar to human SRPK1
CAGL0F03927g,GWK60_F03619,QNG13482.1,GWK60_F03619,,1-to-1,Anc_8.733,YMR217W,GUA1,,"GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools, defects in general protein synthesis, and impaired translation of GCN4 mRNA"
CAGL0F03949g,GWK60_F03641,QNG13483.1,GWK60_F03641,,1-to-1,Anc_8.735,YMR218C,TRS130,inviable,One of 10 subunits of the transport protein particle (TRAPP) complex; the TRAPP complex is of the cis-Golgi and mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic; mutation activates transcription of OCH1; mutants are defective in cytoplasm-to-vacuole targeting (Cvt) pathway and starvation-induced autophagy
CAGL0F03971g,GWK60_F03663,QNG13484.1,GWK60_F03663,,1-to-1,Anc_8.736,YMR219W,ESC1,,Protein localized to the nuclear periphery; involved in telomeric silencing; interacts with PAD4-domain of Sir4p
CAGL0F03993g,GWK60_F03685,QNG13485.1,ERG8,ERG8,1-to-1,Anc_8.737,YMR220W,ERG8,inviable,"Phosphomevalonate kinase; an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate"
CAGL0F04015g,GWK60_F03707,QNG13486.1,GWK60_F03707,,1-to-1,Anc_8.739,YMR221C,,,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; physical interaction with Atg27p suggests a possible role in autophagy"
CAGL0F04081g,GWK60_F03729,QNG13487.1,GWK60_F03729,,2-to-1,Anc_3.310,,,,
CAGL0F04092g,GWK60_F03751,QNG13488.1,GWK60_F03751,,1-to-0,,,,,
CAGL0F04103g,GWK60_F03773,QNG13489.1,GWK60_F03773,,1-to-1,Anc_3.313,YBL028C,,,Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis
CAGL0F04125g,GWK60_F03795,QNG13490.1,GWK60_F03795,,1-to-1,Anc_3.314,YBL029W,,,Non-essential protein of unknown function
CAGL0F04191g,GWK60_F03817,QNG13491.1,GWK60_F03817,,1-to-1,Anc_3.315,YBL029C-A,,,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica
CAGL0F04213g,GWK60_F03839,QNG13492.1,GWK60_F03839,,1-to-2,Anc_3.316,YBL030C,PET9,inviable,"Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; phosphorylated; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication"
CAGL0F04235g,GWK60_F03861,QNG13493.1,GWK60_F03861,,1-to-1,Anc_3.317,YBL031W,SHE1,,"Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex, its effector Sli15p, and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function"
CAGL0F04257g,GWK60_F03883,QNG13494.1,GWK60_F03883,,2-to-1,Anc_3.318,YBL032W,HEK2,,"RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K"
CAGL0F04279g,GWK60_F03905,QNG13495.1,GWK60_F03905,,1-to-1,Anc_3.319,YBL033C,RIB1,,GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway
CAGL0F04301g,GWK60_F03927,QNG13496.1,GWK60_F03927,,1-to-1,Anc_3.321,YBL034C,STU1,inviable,Component of the mitotic spindle; binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles
CAGL0F04323g,GWK60_F03949,QNG13497.1,GWK60_F03949,,1-to-1,Anc_3.322,YBL035C,POL12,inviable,B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation
CAGL0F04345g,GWK60_F03971,QNG13498.1,GWK60_F03971,,1-to-1,Anc_3.323,YBR086C,IST2,,"Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells; mRNA is transported to the bud tip by an actomyosin-driven process"
CAGL0F04367g,GWK60_F03993,QNG13499.1,GWK60_F03993,,1-to-1,Anc_3.324,YBL036C,,,Putative non-specific single-domain racemase; based on structural similarity; binds pyridoxal 5'-phosphate; expression of GFP-fusion protein induced in response to the DNA-damaging agent MMS
CAGL0F04389g,GWK60_F04015,QNG13500.1,GWK60_F04015,,1-to-1,Anc_3.325,YBL037W,APL3,,Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport
CAGL0F04411g,GWK60_F04037,QNG13501.1,GWK60_F04037,,1-to-1,Anc_3.327,YBL038W,MRPL16,,Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein
CAGL0F04433g,GWK60_F04059,QNG13502.1,URA7,URA7,1-to-2,Anc_7.476,YBL039C,URA7,,"Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication"
CAGL0F04455g,GWK60_F04081,QNG13503.1,GWK60_F04081,,1-to-1,Anc_7.479,YBL040C,ERD2,inviable,HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins
CAGL0F04477g,GWK60_F04103,QNG13504.1,GWK60_F04103,,1-to-1,Anc_7.480,YBL041W,PRE7,inviable,Beta 6 subunit of the 20S proteasome
CAGL0F04499g,GWK60_F04125,QNG13505.1,GWK60_F04125,,1-to-1,Anc_7.481,YBL042C,FUI1,,"High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress"
CAGL0F04521g,GWK60_F04147,QNG13506.1,GWK60_F04147,,2-to-2,Anc_7.483,YBL043W,ECM13,,"Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication"
CAGL0F04565g,GWK60_F04169,QNG13507.1,GWK60_F04169,,1-to-1,Anc_7.484,YBL045C,COR1,,Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain
CAGL0F04587g,GWK60_F04191,QNG13508.1,GWK60_F04191,,1-to-1,Anc_7.485,YBL046W,PSY4,,"Regulatory subunit of protein phosphatase PP4; presence of Psy4p in the PP4 complex (along with catalytic subunit Pph3p and Psy2p) is required for dephosphorylation of the histone variant H2AX, but not for dephosphorylation of Rad53p, during recovery from the DNA damage checkpoint; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; required for cisplatin resistance; homolog of mammalian R2"
CAGL0F04609g,GWK60_F04213,QNG13509.1,GWK60_F04213,,1-to-1,Anc_7.488,YBL047C,EDE1,,"Endocytic protein; involved in a network of interactions with other endocytic proteins, binds membranes in a ubiquitin-dependent manner, may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death"
CAGL0F04631g,GWK60_F04235,QNG13510.1,GWK60_F04235,,1-to-1,Anc_7.492,YBL049W,MOH1,,Protein of unknown function; has homology to kinase Snf7p; not required for growth on nonfermentable carbon sources; essential for survival in stationary phase
CAGL0F04653g,GWK60_F04257,QNG13511.1,GWK60_F04257,,1-to-1,Anc_7.493,YBL050W,SEC17,inviable,"Alpha-SNAP cochaperone; SNARE-complex adaptor for Sec18 (NSF) during the disassembly of postfusion cis-SNARE complexes; stimulates the ATPase activity of Sec18p; peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; similar to mammalian alpha-SNAP"
CAGL0F04697g,GWK60_F04301,QNG13512.1,GWK60_F04301,,1-to-1,Anc_1.378,YLR257W,,,Protein of unknown function; protein abundance increases in response to DNA replication stress
CAGL0F04719g,GWK60_F04323,QNG13513.1,GWK60_F04323,,2-to-2,Anc_1.375,YLR258W,GSY2,,"Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase; GSY2 has a paralog, GSY1, that arose from the whole genome duplication; relocalizes from cytoplasm to plasma membrane upon DNA replication stress"
CAGL0F04741g,GWK60_F04345,QNG13514.1,GWK60_F04345,,2-to-2,Anc_1.374,YOL016C,CMK2,,"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK2 has a paralog, CMK1, that arose from the whole genome duplication"
CAGL0F04763g,GWK60_F04367,QNG13515.1,GWK60_F04367,,2-to-2,Anc_1.373,YOL017W,ESC8,,"Protein involved in telomeric and mating-type locus silencing; interacts with Sir2p and also interacts with Gal11p, which is a component of the RNA pol II mediator complex; ESC8 has a paralog, IOC3, that arose from the whole genome duplication"
CAGL0F04785g,GWK60_F04389,QNG13516.1,GWK60_F04389,,1-to-2,Anc_2.222,YIL135C,VHS2,,"Cytoplasmic protein of unknown function; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant, suggesting a role in G1/S phase progression; VHS2 has a paralog, MLF3, that arose from the whole genome duplication"
CAGL0F04807g,GWK60_F04411,QNG13517.1,GWK60_F04411,,1-to-1,Anc_2.219,YIL136W,OM45,,"Mitochondrial outer membrane protein of unknown function; major constituent of the outer membrane, located on the outer (cytosolic) face; protein abundance increases in response to DNA replication stress"
CAGL0F04829g,GWK60_F04433,QNG13518.1,GWK60_F04433,,1-to-2,Anc_3.501,YPR154W,PIN3,,"Negative regulator of actin nucleation-promoting factor activity; interacts with Las17p, a homolog of human Wiskott-Aldrich Syndrome protein (WASP), via an N-terminal SH3 domain, and along with LSB1 cooperatively inhibits the nucleation of actin filaments; induces the appearance of the [PIN+] prion when overproduced; PIN3 has a paralog, LSB1, that arose from the whole genome duplication"
CAGL0F04851g,GWK60_F04455,QNG13519.1,GWK60_F04455,,1-to-1,Anc_3.502,YPR155C,NCA2,,Protein that regulates expression of Fo-F1 ATP synthase subunits; involved in the regulation of mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; functions with Nca3p
CAGL0F04873g,GWK60_F04477,QNG13520.1,GWK60_F04477,,2-to-2,Anc_3.508,YPR159W,KRE6,,"Type II integral membrane protein; required for beta-1,6 glucan biosynthesis; putative beta-glucan synthase; localizes to ER, plasma membrane, sites of polarized growth and secretory vesicles; functionally redundant with Skn1p; KRE6 has a paralog, SKN1, that arose from the whole genome duplication"
CAGL0F04895g,GWK60_F04499,QNG13521.1,GWK60_F04499,,1-to-1,Anc_3.510,YPR160W,GPH1,,Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; expression is regulated by stress-response elements and by the HOG MAP kinase pathway
CAGL0F04917g,GWK60_F04521,QNG13522.1,GWK60_F04521,,2-to-2,Anc_6.070,YLR273C,PIG1,,"Putative targeting subunit for type-1 protein phosphatase Glc7p; tethers Glc7p to Gsy2p glycogen synthase; PIG1 has a paralog, GAC1, that arose from the whole genome duplication"
CAGL0F04939g,GWK60_F04543,QNG13523.1,GWK60_F04543,,1-to-1,Anc_6.071,YLR274W,MCM5,inviable,Component of the Mcm2-7 hexameric helicase complex; MCM complex is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase
CAGL0F04961g,GWK60_F04565,QNG13524.1,SMD2,SMD2,1-to-1,Anc_6.072,YLR275W,SMD2,inviable,"Core Sm protein Sm D2; part of heteroheptameric complex (with Smb1p, Smd1p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D2"
CAGL0F04983g,GWK60_F04587,QNG13525.1,GWK60_F04587,,1-to-1,Anc_6.073,YLR276C,DBP9,inviable,"DEAD-box protein required for 27S rRNA processing; exhibits DNA, RNA and DNA/RNA helicase activities; ATPase activity shows preference for DNA over RNA; DNA helicase activity abolished by mutation in RNA-binding domain"
CAGL0F05005g,GWK60_F04609,QNG13526.1,GWK60_F04609,,2-to-2,Anc_6.074,YLR277C,YSH1,inviable,"Putative endoribonuclease; subunit of the mRNA cleavage and polyadenylation specificity complex; required for 3' processing, splicing, and transcriptional termination of mRNAs and snoRNAs; protein abundance increases in response to DNA replication stress; YSH1 has a paralog, SYC1, that arose from the whole genome duplication"
CAGL0F05027g,GWK60_F04631,QNG13527.1,GWK60_F04631,,1-to-1,Anc_6.076,YLR281C,,,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene
CAGL0F05049g,GWK60_F04653,QNG13528.1,GWK60_F04653,,1-to-1,Anc_6.077,YLR283W,,,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR283W is not an essential gene
CAGL0F05071g,GWK60_F04675,QNG13529.1,GWK60_F04675,,1-to-2,Anc_6.078,YLR284C,ECI1,,"Peroxisomal delta3,delta2-enoyl-CoA isomerase; hexameric protein that converts 3-hexenoyl-CoA to trans-2-hexenoyl-CoA, essential for the beta-oxidation of unsaturated fatty acids, oleate-induced; ECI1 has a paralog, DCI1, that arose from the whole genome duplication"
CAGL0F05093g,GWK60_F04697,QNG13530.1,GWK60_F04697,,1-to-1,Anc_4.279,YLR412W,BER1,,Protein involved in microtubule-related processes; GFP-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YLR412W is not an essential gene; similar to Arabidopsis SRR1 gene
CAGL0F05115g,GWK60_F04719,QNG13531.1,GWK60_F04719,,2-to-2,Anc_4.285,YLR413W,,,"Putative protein of unknown function; not an essential gene; YLR413W has a paralog, FAT3, that arose from the whole genome duplication"
CAGL0F05137g,GWK60_F04741,QNG13532.1,GWK60_F04741,,2-to-2,Anc_1.291,YJL079C,PRY1,,"Sterol binding protein involved in the export of acetylated sterols; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins); sterol export function is redundant with that of PRY2; may be involved in detoxification of hydrophobic compounds; PRY1 has a paralog, PRY2, that arose from the whole genome duplication"
CAGL0F05159g,GWK60_F04763,QNG13533.1,GWK60_F04763,,1-to-1,Anc_3.100,YDR485C,VPS72,,Htz1p-binding component of the SWR1 complex; exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; may function as a lock that prevents removal of H2AZ from nucleosomes; required for vacuolar protein sorting
CAGL0F05181g,GWK60_F04785,QNG13534.1,GWK60_F04785,,1-to-1,Anc_3.102,YDR484W,VPS52,,Component of the GARP (Golgi-associated retrograde protein) complex; this complex is required for the recycling of proteins from endosomes to the late Golgi; involved in localization of actin and chitin; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p
CAGL0F05225g,GWK60_F04829,QNG13536.1,GWK60_F04829,,1-to-1,Anc_3.112,YBR152W,SPP381,inviable,"mRNA splicing factor, component of U4/U6.U5 tri-snRNP; interacts genetically and physically with Prp38p; relocalizes to the cytosol in response to hypoxia"
CAGL0F05247g,GWK60_F04851,QNG13537.1,GWK60_F04851,,1-to-1,Anc_3.110,YBR151W,APD1,,Protein of unknown function; required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus
CAGL0F05269g,GWK60_F04873,QNG13538.1,GWK60_F04873,,1-to-1,Anc_8.421,YLR229C,CDC42,inviable,Small rho-like GTPase; essential for establishment and maintenance of cell polarity; mutants have defects in the organization of actin and septins
CAGL0F05329g,GWK60_F04917,QNG13539.1,GWK60_F04917,,1-to-1,Anc_8.419,YDR210W,,,Predicted tail-anchored plasma membrane protein; contains a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
CAGL0F05335g,GWK60_F04939,QNG13540.1,GWK60_F04939,,1-to-1,Anc_8.418,YDR208W,MSS4,inviable,Phosphatidylinositol-4-phosphate 5-kinase; involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation
CAGL0F05357g,GWK60_F04961,QNG13541.1,GWK60_F04961,,1-to-1,Anc_8.416,YDR207C,UME6,,"Component of the Rpd3L histone deacetylase complex; key transcriptional regulator of early meiotic genes, binds URS1 upstream regulatory sequence, couples metabolic responses to nutritional cues with initiation and progression of meiosis, forms complex with Ime1p"
CAGL0F05379g,GWK60_F04983,QNG13542.1,GWK60_F04983,,2-to-2,Anc_8.415,YDR206W,EBS1,,"Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog, EST1, that arose from the whole genome duplication"
CAGL0F05401g,GWK60_F05005,QNG13543.1,GWK60_F05005,,1-to-1,Anc_8.413,YDR205W,MSC2,,Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Zrg17p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; localizes to ER and nucleus; mutations affect the cellular distribution of zinc and also confer defects in meiotic recombination between homologous chromatids
