# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	451861	453924	-			QNG12944.1	NCP1	NCP1		GWK60_D04279	2064		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	451861	453924	-	QNG12944.1			NCP1	NCP1		GWK60_D04279	2064	687	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	454400	455110	+							GWK60_D04301	711		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	454400	455110	+			QNG12945.1	uncharacterized protein			GWK60_D04301	648		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	454400	455110	+	QNG12945.1			uncharacterized protein			GWK60_D04301	648	215	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	455322	456140	-							GWK60_D04323	819		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	455322	456140	-			QNG12946.1	uncharacterized protein			GWK60_D04323	819		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	455322	456140	-	QNG12946.1			uncharacterized protein			GWK60_D04323	819	272	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	456511	458613	-							GWK60_D04345	2103		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	456511	458613	-			QNG12947.1	uncharacterized protein			GWK60_D04345	2103		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	456511	458613	-	QNG12947.1			uncharacterized protein			GWK60_D04345	2103	700	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	459061	460560	+							GWK60_D04367	1500		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	459061	460560	+			QNG12948.1	uncharacterized protein			GWK60_D04367	1500		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	459061	460560	+	QNG12948.1			uncharacterized protein			GWK60_D04367	1500	499	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	461579	461652	-							GWK60_D04389	74		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	461579	461652	-				tRNA-Val			GWK60_D04389	74		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	462114	462764	-							GWK60_D04411	651		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	462114	462764	-			QNG12949.1	uncharacterized protein			GWK60_D04411	651		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	462114	462764	-	QNG12949.1			uncharacterized protein			GWK60_D04411	651	216	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	463114	465267	-							GWK60_D04433	2154		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	463114	465267	-			QNG12950.1	uncharacterized protein			GWK60_D04433	2154		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	463114	465267	-	QNG12950.1			uncharacterized protein			GWK60_D04433	2154	717	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	465977	466885	+					SEC14		GWK60_D04455	909		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	465977	466885	+			QNG12951.1	SEC14	SEC14		GWK60_D04455	909		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	465977	466885	+	QNG12951.1			SEC14	SEC14		GWK60_D04455	909	302	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	467473	470367	-							GWK60_D04477	2895		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	467473	470367	-			QNG12952.1	uncharacterized protein			GWK60_D04477	2895		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	467473	470367	-	QNG12952.1			uncharacterized protein			GWK60_D04477	2895	964	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	470729	470800	+							GWK60_D04499	72		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	470729	470800	+				tRNA-Glu			GWK60_D04499	72		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	471104	472279	+							GWK60_D04521	1176		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	471104	472279	+			QNG12953.1	uncharacterized protein			GWK60_D04521	1176		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	471104	472279	+	QNG12953.1			uncharacterized protein			GWK60_D04521	1176	391	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	472943	476104	+							GWK60_D04543	3162		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	472943	476104	+			QNG12954.1	uncharacterized protein			GWK60_D04543	3162		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	472943	476104	+	QNG12954.1			uncharacterized protein			GWK60_D04543	3162	1053	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	476511	476750	+							GWK60_D04565	240		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	476511	476750	+			QNG12955.1	uncharacterized protein			GWK60_D04565	240		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	476511	476750	+	QNG12955.1			uncharacterized protein			GWK60_D04565	240	79	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	477098	477370	-							GWK60_D04587	273		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	477098	477370	-			QNG12956.1	uncharacterized protein			GWK60_D04587	273		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	477098	477370	-	QNG12956.1			uncharacterized protein			GWK60_D04587	273	90	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	478984	480129	+							GWK60_D04609	1146		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	478984	480129	+			QNG12957.1	uncharacterized protein			GWK60_D04609	1146		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	478984	480129	+	QNG12957.1			uncharacterized protein			GWK60_D04609	1146	381	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	480534	482258	-							GWK60_D04631	1725		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	480534	482258	-			QNG12958.1	uncharacterized protein			GWK60_D04631	1725		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	480534	482258	-	QNG12958.1			uncharacterized protein			GWK60_D04631	1725	574	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	482459	483127	-							GWK60_D04653	669		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	482459	483127	-			QNG12959.1	uncharacterized protein			GWK60_D04653	669		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	482459	483127	-	QNG12959.1			uncharacterized protein			GWK60_D04653	669	222	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	483425	484207	+							GWK60_D04675	783		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	483425	484207	+			QNG12960.1	uncharacterized protein			GWK60_D04675	783		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	483425	484207	+	QNG12960.1			uncharacterized protein			GWK60_D04675	783	260	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	485053	492495	+							GWK60_D04697	7443		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	485053	492495	+			QNG12961.1	uncharacterized protein			GWK60_D04697	7443		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	485053	492495	+	QNG12961.1			uncharacterized protein			GWK60_D04697	7443	2480	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	492817	492903	+							GWK60_D04719	87		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	492817	492903	+				tRNA-Lys			GWK60_D04719	73		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	493081	494328	-					MRI1		GWK60_D04741	1248		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	493081	494328	-			QNG12962.1	MRI1	MRI1		GWK60_D04741	1248		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	493081	494328	-	QNG12962.1			MRI1	MRI1		GWK60_D04741	1248	415	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	494994	495075	-							GWK60_D04763	82		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	494994	495075	-				tRNA-Leu			GWK60_D04763	82		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	498471	499901	+							GWK60_D04785	1431		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	498471	499901	+			QNG12963.1	uncharacterized protein			GWK60_D04785	1431		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	498471	499901	+	QNG12963.1			uncharacterized protein			GWK60_D04785	1431	476	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	500609	501808	-							GWK60_D04807	1200		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	500609	501808	-			QNG12964.1	uncharacterized protein			GWK60_D04807	1200		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	500609	501808	-	QNG12964.1			uncharacterized protein			GWK60_D04807	1200	399	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	502307	502378	-							GWK60_D04829	72		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	502307	502378	-				tRNA-Cys			GWK60_D04829	72		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	502911	506456	+							GWK60_D04851	3546		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	502911	506456	+			QNG12965.1	uncharacterized protein			GWK60_D04851	3546		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	502911	506456	+	QNG12965.1			uncharacterized protein			GWK60_D04851	3546	1181	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	507389	508540	+							GWK60_D04873	1152		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	507389	508540	+			QNG12966.1	uncharacterized protein			GWK60_D04873	1152		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	507389	508540	+	QNG12966.1			uncharacterized protein			GWK60_D04873	1152	383	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	509192	510493	+							GWK60_D04895	1302		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	509192	510493	+			QNG12967.1	uncharacterized protein			GWK60_D04895	1302		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	509192	510493	+	QNG12967.1			uncharacterized protein			GWK60_D04895	1302	433	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	511431	512489	+							GWK60_D04917	1059		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	511431	512489	+			QNG12968.1	uncharacterized protein			GWK60_D04917	1059		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	511431	512489	+	QNG12968.1			uncharacterized protein			GWK60_D04917	1059	352	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	512692	513660	-							GWK60_D04939	969		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	512692	513660	-			QNG12969.1	uncharacterized protein			GWK60_D04939	969		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	512692	513660	-	QNG12969.1			uncharacterized protein			GWK60_D04939	969	322	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	514007	514585	-							GWK60_D04961	579		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	514007	514585	-			QNG12970.1	uncharacterized protein			GWK60_D04961	579		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	514007	514585	-	QNG12970.1			uncharacterized protein			GWK60_D04961	579	192	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	514843	516003	-							GWK60_D04983	1161		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	514843	516003	-			QNG12971.1	uncharacterized protein			GWK60_D04983	1161		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	514843	516003	-	QNG12971.1			uncharacterized protein			GWK60_D04983	1161	386	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	516216	516365	+							GWK60_D05005	150		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	516216	516365	+			QNG12972.1	uncharacterized protein			GWK60_D05005	150		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	516216	516365	+	QNG12972.1			uncharacterized protein			GWK60_D05005	150	49	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	516567	517157	+							GWK60_D05027	591		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	516567	517157	+			QNG12973.1	uncharacterized protein			GWK60_D05027	591		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	516567	517157	+	QNG12973.1			uncharacterized protein			GWK60_D05027	591	196	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	517570	520329	+							GWK60_D05049	2760		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	517570	520329	+			QNG12974.1	uncharacterized protein			GWK60_D05049	2760		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	517570	520329	+	QNG12974.1			uncharacterized protein			GWK60_D05049	2760	919	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	520671	522362	+							GWK60_D05071	1692		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	520671	522362	+			QNG12975.1	uncharacterized protein			GWK60_D05071	1692		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	520671	522362	+	QNG12975.1			uncharacterized protein			GWK60_D05071	1692	563	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	522716	522789	-							GWK60_D05093	74		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	522716	522789	-				tRNA-Asn			GWK60_D05093	74		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	523047	524405	-							GWK60_D05115	1359		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	523047	524405	-			QNG12976.1	uncharacterized protein			GWK60_D05115	1359		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	523047	524405	-	QNG12976.1			uncharacterized protein			GWK60_D05115	1359	452	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	524800	525684	-							GWK60_D05137	885		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	524800	525684	-			QNG12977.1	uncharacterized protein			GWK60_D05137	885		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	524800	525684	-	QNG12977.1			uncharacterized protein			GWK60_D05137	885	294	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	525924	527030	+							GWK60_D05159	1107		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	525924	527030	+			QNG12978.1	uncharacterized protein			GWK60_D05159	1107		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	525924	527030	+	QNG12978.1			uncharacterized protein			GWK60_D05159	1107	368	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	527169	529247	-					KAR3		GWK60_D05181	2079		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	527169	529247	-			QNG12979.1	KAR3	KAR3		GWK60_D05181	2079		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	527169	529247	-	QNG12979.1			KAR3	KAR3		GWK60_D05181	2079	692	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	529614	530300	+							GWK60_D05203	687		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	529614	530300	+			QNG12980.1	uncharacterized protein			GWK60_D05203	687		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	529614	530300	+	QNG12980.1			uncharacterized protein			GWK60_D05203	687	228	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	530724	530795	+							GWK60_D05225	72		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	530724	530795	+				tRNA-Arg			GWK60_D05225	72		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	531058	532590	-							GWK60_D05247	1533		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	531058	532590	-			QNG12981.1	uncharacterized protein			GWK60_D05247	1533		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	531058	532590	-	QNG12981.1			uncharacterized protein			GWK60_D05247	1533	510	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	533701	534618	+							GWK60_D05269	918		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	533701	534618	+			QNG12982.1	uncharacterized protein			GWK60_D05269	918		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	533701	534618	+	QNG12982.1			uncharacterized protein			GWK60_D05269	918	305	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	535837	536640	+							GWK60_D05291	804		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	535837	536640	+			QNG12983.1	uncharacterized protein			GWK60_D05291	804		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	535837	536640	+	QNG12983.1			uncharacterized protein			GWK60_D05291	804	267	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	536740	536812	+							GWK60_D05313	73		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	536740	536812	+				tRNA-Lys			GWK60_D05313	73		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	536971	537297	-							GWK60_D05335	327		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	536971	537297	-			QNG12984.1	uncharacterized protein			GWK60_D05335	327		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	536971	537297	-	QNG12984.1			uncharacterized protein			GWK60_D05335	327	108	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	538182	539783	+					PHO4		GWK60_D05357	1602		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	538182	539783	+			QNG12985.1	PHO4	PHO4		GWK60_D05357	1602		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	538182	539783	+	QNG12985.1			PHO4	PHO4		GWK60_D05357	1602	533	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	540713	541084	+							GWK60_D05379	372		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	540713	541084	+			QNG12986.1	uncharacterized protein			GWK60_D05379	372		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	540713	541084	+	QNG12986.1			uncharacterized protein			GWK60_D05379	372	123	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	542539	542718	+							GWK60_D05401	180		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	542539	542718	+			QNG12987.1	uncharacterized protein			GWK60_D05401	180		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	542539	542718	+	QNG12987.1			uncharacterized protein			GWK60_D05401	180	59	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	543302	544633	+							GWK60_D05423	1332		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	543302	544633	+			QNG12988.1	uncharacterized protein			GWK60_D05423	1332		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	543302	544633	+	QNG12988.1			uncharacterized protein			GWK60_D05423	1332	443	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	545153	548665	+							GWK60_D05445	3513		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	545153	548665	+			QNG12989.1	uncharacterized protein			GWK60_D05445	3513		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	545153	548665	+	QNG12989.1			uncharacterized protein			GWK60_D05445	3513	1170	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	548806	551898	-							GWK60_D05467	3093		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	548806	551898	-			QNG12990.1	uncharacterized protein			GWK60_D05467	3093		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	548806	551898	-	QNG12990.1			uncharacterized protein			GWK60_D05467	3093	1030	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	552651	553358	+							GWK60_D05489	708		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	552651	553358	+			QNG12991.1	uncharacterized protein			GWK60_D05489	708		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	552651	553358	+	QNG12991.1			uncharacterized protein			GWK60_D05489	708	235	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	553631	554149	+							GWK60_D05511	519		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	553631	554149	+			QNG12992.1	uncharacterized protein			GWK60_D05511	363		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	553631	554149	+	QNG12992.1			uncharacterized protein			GWK60_D05511	363	120	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	554375	556738	-							GWK60_D05533	2364		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	554375	556738	-			QNG12993.1	uncharacterized protein			GWK60_D05533	2364		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	554375	556738	-	QNG12993.1			uncharacterized protein			GWK60_D05533	2364	787	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	557320	557838	+							GWK60_D05555	519		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	557320	557838	+			QNG12994.1	uncharacterized protein			GWK60_D05555	519		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	557320	557838	+	QNG12994.1			uncharacterized protein			GWK60_D05555	519	172	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	558172	558513	-							GWK60_D05577	342		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	558172	558513	-			QNG12995.1	uncharacterized protein			GWK60_D05577	342		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	558172	558513	-	QNG12995.1			uncharacterized protein			GWK60_D05577	342	113	
gene	tRNA	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	560324	560394	+							GWK60_D05599	71		
tRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	560324	560394	+				tRNA-Gly			GWK60_D05599	71		
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	560593	561561	-							GWK60_D05621	969		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	560593	561561	-			QNG12996.1	uncharacterized protein			GWK60_D05621	969		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	560593	561561	-	QNG12996.1			uncharacterized protein			GWK60_D05621	969	322	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	562332	563057	-					ROX1		GWK60_D05643	726		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	562332	563057	-			QNG12997.1	ROX1	ROX1		GWK60_D05643	726		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	562332	563057	-	QNG12997.1			ROX1	ROX1		GWK60_D05643	726	241	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	566847	569021	+							GWK60_D05665	2175		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	566847	569021	+			QNG12998.1	uncharacterized protein			GWK60_D05665	2175		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	566847	569021	+	QNG12998.1			uncharacterized protein			GWK60_D05665	2175	724	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	569238	570371	-							GWK60_D05687	1134		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	569238	570371	-			QNG12999.1	uncharacterized protein			GWK60_D05687	1134		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	569238	570371	-	QNG12999.1			uncharacterized protein			GWK60_D05687	1134	377	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	570826	571149	+							GWK60_D05709	324		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	570826	571149	+			QNG13000.1	uncharacterized protein			GWK60_D05709	324		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	570826	571149	+	QNG13000.1			uncharacterized protein			GWK60_D05709	324	107	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	571769	574504	-							GWK60_D05731	2736		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	571769	574504	-			QNG13001.1	uncharacterized protein			GWK60_D05731	2736		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	571769	574504	-	QNG13001.1			uncharacterized protein			GWK60_D05731	2736	911	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	575597	577006	+							GWK60_D05753	1410		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	575597	577006	+			QNG13002.1	uncharacterized protein			GWK60_D05753	1410		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	D	CP048233.1	575597	577006	+	QNG13002.1			uncharacterized protein			GWK60_D05753	1410	469	
